setting,regime,signal,arm,seed,rep,device,test_acc,test_auc,test_dp,test_eo,secs
credit,degree-skewed,uniform,across,33,0,cuda,0.778,0.7009575325387383,0.019555150583481562,0.006962719747457546,7.8
credit,degree-skewed,uniform,across,34,0,cuda,0.6764,0.7286308493131063,0.03821147341479325,0.008967923444719528,5.3
credit,degree-skewed,uniform,across,35,0,cuda,0.6773333333333333,0.7228441379911021,0.03982650791780307,0.010653948173082184,4.6
credit,degree-skewed,uniform,across,36,0,cuda,0.6764,0.7273424883379829,0.042158814638405095,0.012642019743658639,3.7
recidivism,saturated,uniform,within,27,0,cuda,0.8410680228862047,0.8639904239101487,0.07361978185666262,0.04584763212079612,5.0
recidivism,saturated,uniform,within,27,1,cuda,0.8410680228862047,0.8639904239101487,0.07361978185666262,0.04584763212079612,4.0
recidivism,saturated,uniform,within,27,2,cuda,0.8410680228862047,0.8639904239101487,0.07361978185666262,0.04584763212079612,4.8
recidivism,saturated,uniform,within,27,3,cuda,0.8410680228862047,0.8639677521558256,0.07361978185666262,0.04584763212079612,4.8
recidivism,saturated,uniform,within,27,4,cuda,0.8410680228862047,0.8639677521558256,0.07361978185666262,0.04584763212079612,5.0
recidivism,saturated,uniform,within,27,5,cuda,0.813731722822632,0.8432276886978722,0.07291669662087746,0.06579730038892695,6.3
recidivism,saturated,uniform,within,27,6,cuda,0.8410680228862047,0.8639677521558256,0.07361978185666262,0.04584763212079612,4.6
recidivism,saturated,uniform,within,27,7,cuda,0.8410680228862047,0.8639677521558256,0.07361978185666262,0.04584763212079612,4.4
recidivism,saturated,uniform,within,27,8,cuda,0.8410680228862047,0.8639905195715594,0.07361978185666262,0.04584763212079612,4.1
recidivism,saturated,uniform,within,27,9,cuda,0.813731722822632,0.8432303672173703,0.07291669662087746,0.06579730038892695,5.6
recidivism,saturated,uniform,across,27,0,cuda,0.8410680228862047,0.8639677521558256,0.07361978185666262,0.04584763212079612,4.4
recidivism,saturated,uniform,across,28,0,cuda,0.8372536554354736,0.8722162529501979,0.07061801048445304,0.04307176084801345,4.4
recidivism,saturated,uniform,across,29,0,cuda,0.8359821996185632,0.8676742491727201,0.06738798802598395,0.034904293449248835,3.7
recidivism,saturated,uniform,across,30,0,cuda,0.8272939182030091,0.8559417598026161,0.06917319908095687,0.04026538549531,4.5
recidivism,saturated,uniform,across,31,0,cuda,0.8366179275270185,0.858605547443468,0.0650853479337346,0.04314802104781512,4.6
recidivism,saturated,uniform,across,32,0,cuda,0.8446704810341173,0.8627618444132206,0.062175416171823095,0.03970868603675748,4.3
recidivism,saturated,uniform,across,33,0,cuda,0.8361941089213817,0.8594766402488115,0.06426238594634698,0.034134065431251415,2.9
recidivism,saturated,uniform,across,34,0,cuda,0.8336511972875609,0.8623587272287578,0.06939174500291873,0.04789140547548232,3.6
recidivism,saturated,uniform,across,35,0,cuda,0.8342869251960161,0.8606819740229527,0.06944009109914218,0.040898345153664306,4.5
recidivism,saturated,uniform,across,36,0,cuda,0.829413011231193,0.8594938593027278,0.06456702027013428,0.05337451384122616,3.8
income,clustered,uniform,within,27,0,cuda,0.8065299514301133,0.7509462234498687,0.028050138978969442,0.0030748513073729222,5.7
income,clustered,uniform,within,27,1,cuda,0.8065299514301133,0.7509453654891298,0.028050138978969442,0.0030748513073729222,4.6
income,clustered,uniform,within,27,2,cuda,0.8065299514301133,0.750946008959684,0.028050138978969442,0.0030748513073729222,4.4
income,clustered,uniform,within,27,3,cuda,0.8065299514301133,0.750944507528391,0.028050138978969442,0.0030748513073729222,4.6
income,clustered,uniform,within,27,4,cuda,0.8065299514301133,0.7509453654891298,0.028050138978969442,0.0030748513073729222,4.4
income,clustered,uniform,within,27,5,cuda,0.8065299514301133,0.7509451509989451,0.028050138978969442,0.0030748513073729222,3.6
income,clustered,uniform,within,27,6,cuda,0.8065299514301133,0.7509447220185758,0.028050138978969442,0.0030748513073729222,4.6
income,clustered,uniform,within,27,7,cuda,0.8065299514301133,0.7509455799793145,0.028050138978969442,0.0030748513073729222,4.8
income,clustered,uniform,within,27,8,cuda,0.8065299514301133,0.7509457944694993,0.028050138978969442,0.0030748513073729222,4.6
income,clustered,uniform,within,27,9,cuda,0.8065299514301133,0.7509455799793145,0.028050138978969442,0.0030748513073729222,5.1
income,clustered,uniform,across,27,0,cuda,0.8065299514301133,0.7509457944694993,0.028050138978969442,0.0030748513073729222,5.0
income,clustered,uniform,across,28,0,cuda,0.8022126281705343,0.7095845797000484,0.02009463699628072,0.01861743912018854,6.2
income,clustered,uniform,across,29,0,cuda,0.8105774419859687,0.7606905125414556,0.047882525564259426,0.04348557962069352,5.4
