seed,family,dataset,comparison,pairing,a_method,a_protocol,a_selector,b_method,b_protocol,b_selector,coordinate,n_units,delta_mean,lo,hi,sign_stability,excludes_zero,status
20260924,selector,german,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,negEO,30,0.00962533333333333,-0.018960253333333333,0.043437118333333295,0.7315,False,ok
20260924,selector,bail,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,dAUC,30,4.766666666670508e-06,-2.9999999999382374e-07,1.6100000000000466e-05,0.9533,False,ok
20260924,selector,bail,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,negDP,30,-8.570000000000082e-05,-0.00021460000000000158,1.61333333333324e-05,0.9289,False,ok
20260924,selector,bail,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,negEO,30,-0.00011233333333333315,-0.00028186666666666624,0.0,0.9169,False,ok
20260924,selector,credit,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,dAUC,30,9.999999999917483e-08,-4.999999999847719e-07,7.333333333396179e-07,0.6172,False,ok
20260924,selector,credit,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,negDP,30,0.0,0.0,0.0,1.0,False,ok
20260924,selector,credit,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,negEO,30,0.0,0.0,0.0,1.0,False,ok
20260924,selector,german,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,dAUC,30,-0.0001677666666666559,-0.0013336566666666513,0.0005050033333333462,0.5586,False,ok
20260924,selector,german,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,negDP,30,-0.0003812666666666659,-0.0117268,0.007028173333333333,0.4443,False,ok
20260924,selector,german,FairEdit (default): BCE -> AUC selector,same_run,FairEdit,controlled,common_bce,FairEdit,controlled,common_auc,negEO,30,-0.0006985666666666677,-0.013608399999999994,0.007303021666666657,0.4566,False,ok
20260924,selector,bail,FairGB (default): BCE -> AUC selector,same_run,FairGB,controlled,common_bce,FairGB,controlled,common_auc,dAUC,30,-0.006196766666666672,-0.010724069166666643,-0.0016055516666666886,0.996,True,ok
