cell,split_id,run_id,common_epoch,sel_M1,sel_M0,grid_restricted,common_dAUC,common_negDP,common_negEO,indep_dAUC,indep_negDP,indep_negEO
NIFTY/German D1,20,2,960,890,746,False,0.01870476190476189,-0.11252045826513901,-0.07457983193277318,0.03139047619047619,-0.07637752318603375,-0.07352941176470584
NIFTY/German D1,20,3,738,993,642,False,-0.022019047619047605,-0.28559738134206225,-0.21008403361344546,0.021257142857142863,-0.3517457719585379,-0.3308823529411765
NIFTY/German D1,20,4,997,997,975,False,-0.017904761904761868,0.07624113475177297,0.0934873949579832,-0.006476190476190413,-0.05319148936170215,-0.017857142857142905
NIFTY/German D1,21,0,504,978,475,False,0.053028571428571425,-0.01873464373464373,-0.05600000000000005,0.09607619047619043,-0.010135135135135087,-0.008000000000000007
NIFTY/German D1,21,1,976,987,690,False,0.012952380952380937,-0.08630221130221138,-0.136,0.03794285714285717,-0.11041154791154795,-0.08800000000000008
NIFTY/German D1,21,2,960,967,746,False,-0.01409523809523816,0.01858108108108103,-0.02400000000000002,-0.0011428571428572232,-0.0029176904176905216,-0.0040000000000000036
NIFTY/German D1,21,3,990,997,768,False,-0.020571428571428574,0.0036855036855036327,0.07600000000000001,0.016457142857142837,-0.06280712530712534,-0.020000000000000018
NIFTY/German D1,21,4,984,965,987,False,-0.02118095238095241,-0.19287469287469294,-0.20000000000000007,-0.00807619047619057,-0.2541461916461917,-0.22399999999999998
NIFTY/German D1,22,0,530,935,465,False,0.10140952380952378,-0.017478152309612915,-0.0039999999999998925,0.11885714285714288,-0.2047440699126093,-0.14800000000000002
NIFTY/German D1,22,1,352,415,267,False,0.06297142857142857,-0.043071161048689244,-0.06000000000000005,0.0816,-0.09066791510611738,-0.052000000000000046
NIFTY/German D1,22,2,992,1000,980,False,0.028266666666666662,-0.1991260923845194,-0.14800000000000002,0.06857142857142856,-0.21566791510611738,-0.15200000000000002
NIFTY/German D1,22,3,942,997,645,False,0.020876190476190493,-0.2534332084893882,-0.21199999999999997,0.09523809523809529,-0.3481585518102372,-0.352
