arm,split_id,run_id,seed,hidden,lr,epochs,feature_normalize,bc_epoch,test_auc,test_auc_neg_score,test_dp,test_eo,val_auc_at_bc,val_auc_min,val_auc_max,val_auc_final,val_bce_at_bc,val_bce_final,n_val_epochs_auc_below_half,n_val_epochs
repro_H1000,22,1,28,16,0.001,1000,False,996,0.5332571428571429,0.4667428571428571,0.5344881398252185,0.45999999999999996,0.6032,0.3980952380952381,0.6435047619047619,0.6034285714285714,0.6275542418856648,0.6276256336467476,288,1001
probe,22,1,28,64,0.01,1000,False,119,0.6,0.4,0.4739388264669163,0.42800000000000005,0.6449523809523809,0.43116190476190475,0.6739809523809523,0.6699428571428572,0.7199983507989098,2.9133485588972112,62,1001
probe_norm,22,1,28,64,0.01,1000,True,3,0.5276952380952381,0.4723047619047619,0.2688826466916354,0.268,0.5692190476190476,0.5685333333333333,0.639847619047619,0.6391619047619047,0.6311150035583439,0.8040027112313054,0,1001
repro,22,2,29,16,0.001,200,False,200,0.4505904761904762,0.5494095238095238,0.34737827715355807,0.37999999999999995,0.4057142857142857,0.3443047619047619,0.561752380952381,0.4057142857142857,0.7269278025756687,0.7269278025756687,182,201
repro_H1000,22,2,29,16,0.001,1000,False,979,0.5629714285714286,0.43702857142857143,0.5037453183520599,0.428,0.6196571428571429,0.3443047619047619,0.6675047619047619,0.6615238095238095,0.6173654944640437,0.7730475786456209,257,1001
probe,22,2,29,64,0.01,1000,False,168,0.6091428571428571,0.39085714285714285,0.5131086142322098,0.52,0.662552380952381,0.4307047619047619,0.694247619047619,0.6756571428571428,0.7930573632235703,2.701724851322132,76,1001
probe_norm,22,2,29,64,0.01,1000,True,3,0.5283809523809524,0.4716190476190476,0.2871410736579275,0.276,0.5619809523809524,0.5552,0.6400761904761905,0.6391619047619047,0.6416774038828001,0.8043309267684127,0,1001
repro,22,3,30,16,0.001,200,False,200,0.4368761904761905,0.5631238095238095,0.01997503121098626,0.06,0.4130285714285714,0.4130285714285714,0.5590095238095238,0.4130285714285714,1.4392328558228515,1.4392328558228515,188,201
repro_H1000,22,3,30,16,0.001,1000,False,998,0.5706666666666667,0.42933333333333334,0.5486891385767791,0.49200000000000005,0.6233142857142857,0.3832380952380952,0.6653333333333333,0.6231619047619048,0.6163063925788506,0.6163103784291668,372,1001
probe,22,3,30,64,0.01,1000,False,54,0.505752380952381,0.49424761904761905,0.1246878901373284,0.16400000000000003,0.5184761904761904,0.38826666666666665,0.6681142857142857,0.6078476190476191,0.6825409939361842,1.4226768031328403,104,1001
probe_norm,22,3,30,64,0.01,1000,True,0,0.5283809523809524,0.4716190476190476,0.01061173533083648,0.01200000000000001,0.5763047619047619,0.5763047619047619,0.6397714285714285,0.6390095238095238,0.6187661800295519,0.8046280235953402,0,1001
repro,22,4,31,16,0.001,200,False,200,0.3551238095238095,0.6448761904761905,0.07709113607990015,0.124,0.3627047619047619,0.34963809523809525,0.5586285714285715,0.3627047619047619,0.7852369481260199,0.7852369481260199,189,201
repro_H1000,22,4,31,16,0.001,1000,False,999,0.5427047619047619,0.4572952380952381,0.5401061173533084,0.492,0.6086095238095238,0.3497904761904762,0.6481523809523809,0.6476571428571428,0.6240686531357438,0.7752951303194656,330,1001
probe,22,4,31,64,0.01,1000,False,121,0.47184761904761907,0.5281523809523809,0.283083645443196,0.268,0.5031619047619048,0.4240761904761905,0.6729904761904761,0.6020571428571428,1.3411400489710739,1.8387183541390637,78,1001
probe_norm,22,4,31,64,0.01,1000,True,3,0.5235047619047619,0.4764952380952381,0.18523720349563044,0.19600000000000006,0.5512380952380952,0.5462095238095238,0.639847619047619,0.6390857142857143,0.6333175669231438,0.8042767816790273,0,1001
repro,23,0,27,16,0.001,200,False,89,0.4006857142857143,0.5993142857142857,0.03749999999999998,0.02400000000000002,0.34796190476190475,0.31923809523809527,0.6122666666666666,0.44015238095238096,0.7351591535779715,0.7454784623642582,158,201
repro_H1000,23,0,27,16,0.001,1000,False,1000,0.6682285714285714,0.33177142857142855,0.4426470588235294,0.352,0.6550857142857143,0.31923809523809527,0.7108571428571429,0.6550857142857143,0.5970150856638972,0.5970150856638972,250,1001
probe,23,0,27,64,0.01,1000,False,203,0.6772190476190476,0.3227809523809524,0.3808823529411765,0.2799999999999999,0.6946285714285715,0.3875047619047619,0.7232,0.6767238095238095,0.7183485741825307,10.193184706912433,198,1001
probe_norm,23,0,27,64,0.01,1000,True,5,0.6572190476190476,0.3427809523809524,0.48235294117647054,0.41200000000000003,0.6050285714285715,0.45836190476190475,0.683047619047619,0.6532571428571429,0.6269899800207145,0.7362141531716857,1,1001
repro,23,1,28,16,0.001,200,False,80,0.48975238095238094,0.5102476190476191,0.0051470588235293935,0.03199999999999992,0.4892952380952381,0.36396190476190476,0.6085333333333334,0.46521904761904764,0.6930039701858475,0.7443711798767345,137,201
repro_H1000,23,1,28,16,0.001,1000,False,1000,0.6616380952380952,0.33836190476190475,0.3941176470588236,0.32800000000000007,0.6574476190476191,0.36396190476190476,0.7167238095238095,0.6574476190476191,0.5956413364165679,0.5956413364165679,189,1001
probe,23,1,28,64,0.01,1000,False,278,0.6816761904761904,0.3183238095238095,0.48014705882352937,0.39599999999999996,0.6945523809523809,0.38704761904761903,0.7202285714285714,0.5875809523809524,0.747023231249044,1.3678707578567142,172,1001
probe_norm,23,1,28,64,0.01,1000,True,2,0.6249904761904762,0.3750095238095238,0.2448529411764705,0.23199999999999998,0.56,0.56,0.68,0.6540952380952381,0.6192604406091904,0.7464055493105729,0,1001
repro,23,2,29,16,0.001,200,False,200,0.44571428571428573,0.5542857142857143,0.49926470588235294,0.5559999999999999,0.4979047619047619,0.3308190476190476,0.6105142857142857,0.4979047619047619,0.7046879587737193,0.7046879587737193,177,201
repro_H1000,23,2,29,16,0.001,1000,False,999,0.6639238095238095,0.3360761904761905,0.3933823529411765,0.32399999999999995,0.6637714285714286,0.3308190476190476,0.7280761904761904,0.7237333333333333,0.5927029851081749,0.7048081765912795,178,1001
probe,23,2,29,64,0.01,1000,False,703,0.6797714285714286,0.3202285714285714,0.33529411764705885,0.23199999999999998,0.7027809523809524,0.3869714285714286,0.720152380952381,0.648,0.7164241517462127,21.659651599241887,136,1001
probe_norm,23,2,29,64,0.01,1000,True,3,0.6045714285714285,0.3954285714285714,0.09411764705882353,0.07999999999999996,0.5078095238095238,0.5023238095238095,0.6806095238095238,0.6537904761904761,0.6263510147601627,0.7453094612946825,0,1001
repro,23,3,30,16,0.001,200,False,200,0.3961904761904762,0.6038095238095238,0.0014705882352941124,0.023999999999999994,0.3839619047619048,0.3823238095238095,0.6082285714285715,0.3839619047619048,1.2563671406534596,1.2563671406534596,184,201
repro_H1000,23,3,30,16,0.001,1000,False,999,0.655847619047619,0.34415238095238093,0.43529411764705883,0.388,0.6583619047619048,0.3823238095238095,0.7275428571428572,0.7248,0.5947233551968494,0.7157583922644326,266,1001
probe,23,3,30,64,0.01,1000,False,316,0.683047619047619,0.31695238095238093,0.47500000000000003,0.408,0.696,0.3750857142857143,0.7241142857142857,0.6941714285714286,0.7173373713057192,0.7826719505265054,175,1001
probe_norm,23,3,30,64,0.01,1000,True,0,0.6307809523809523,0.3692190476190476,0.019852941176470518,0.0040000000000000036,0.5593142857142858,0.5593142857142858,0.6809142857142857,0.6537142857142857,0.6171897084883013,0.7454709827177012,0,1001
repro,23,4,31,16,0.001,200,False,72,0.44716190476190476,0.5528380952380952,0.10441176470588243,0.052000000000000046,0.4719238095238095,0.3571047619047619,0.6052571428571428,0.4254476190476191,0.7608903153282542,0.7660525741754377,164,201
