method,dataset,varied_factor,coordinate,primary_configuration,robustness_configuration,primary_backbone,robustness_backbone,primary_tau_I_mean,primary_tau_I_lo,primary_tau_I_hi,primary_resolved,robustness_tau_I_mean,robustness_tau_I_lo,robustness_tau_I_hi,robustness_resolved,sign_changed,resolution_changed,abs_shift
FairVGNN,german,"propagation (spmm), with that published row's hyperparameters",dAUC,default,GCNspmm,GCN,GCN,0.012540952380952375,-0.01662596825396825,0.03803999999999996,False,0.02267428571428571,0.010372000000000003,0.037015936507936505,True,False,True,0.010133333333333334
FairVGNN,german,"propagation (spmm), with that published row's hyperparameters",negDP,default,GCNspmm,GCN,GCN,-0.0028977891748784984,-0.11017069196887114,0.1032608714638966,False,0.046062953301798264,-0.014340120221842985,0.11691299462315327,False,True,False,0.04896074247667676
FairVGNN,german,"propagation (spmm), with that published row's hyperparameters",negEO,default,GCNspmm,GCN,GCN,-0.002549478763136451,-0.11736615931715477,0.11435089355097831,False,0.0637736724477025,0.004359422781080548,0.14019735771436237,False,True,False,0.06632315121083895
FairVGNN,credit,"backbone (encoder), with that published row's hyperparameters",dAUC,default,GIN,GCN,GIN,-0.011991887558647196,-0.01588722491720773,-0.008962761273334813,True,-0.0721500308713353,-0.09830639040080859,-0.04908208726586399,True,False,False,0.0601581433126881
FairVGNN,credit,"backbone (encoder), with that published row's hyperparameters",negDP,default,GIN,GCN,GIN,-0.00013312788501763096,-0.04062605295153171,0.03295973086572659,False,0.0961371352568849,0.06494525457100807,0.12938048221662932,True,True,True,0.09627026314190253
FairVGNN,credit,"backbone (encoder), with that published row's hyperparameters",negEO,default,GIN,GCN,GIN,-0.01385562841854202,-0.059914218234453254,0.02077670631141013,False,0.08008267625661736,0.05084625898267981,0.11307447506458078,True,True,True,0.09393830467515937
FairVGNN,german,"backbone (encoder), with that published row's hyperparameters",dAUC,default,GIN,GCN,GIN,0.012540952380952375,-0.01662596825396825,0.03803999999999996,False,0.021193650793650796,-0.0027708571428571417,0.044825714285714295,False,False,False,0.008652698412698421
FairVGNN,german,"backbone (encoder), with that published row's hyperparameters",negDP,default,GIN,GCN,GIN,-0.0028977891748784984,-0.11017069196887114,0.1032608714638966,False,0.08104309041465574,0.011811213094754431,0.1587914265425535,True,True,True,0.08394087958953424
FairVGNN,german,"backbone (encoder), with that published row's hyperparameters",negEO,default,GIN,GCN,GIN,-0.002549478763136451,-0.11736615931715477,0.11435089355097831,False,0.08840460868153409,0.011895443510737602,0.16936744128118153,True,True,True,0.09095408744467054
FairVGNN,bail,"backbone (encoder), with that published row's hyperparameters",dAUC,default,SAGE,GCN,SAGE,-0.04213808928704445,-0.062323884313722495,-0.026824069306947144,True,0.012125670522714339,-0.0017084099581232655,0.024080880144287966,False,True,True,0.05426375980975878
FairVGNN,bail,"backbone (encoder), with that published row's hyperparameters",negDP,default,SAGE,GCN,SAGE,0.006893771339994484,-0.002756453659066201,0.01651663449996371,False,0.02375029400472407,-0.007182321571056615,0.061046460553684435,False,False,False,0.016856522664729586
FairVGNN,bail,"backbone (encoder), with that published row's hyperparameters",negEO,default,SAGE,GCN,SAGE,-0.0054177356661364645,-0.011927240429787583,0.0010499453272957823,False,0.019220161249173615,-0.010901550448440126,0.05369619012737759,False,True,False,0.02463789691531008
FairVGNN,credit,"backbone (encoder), with that published row's hyperparameters",dAUC,default,SAGE,GCN,SAGE,-0.011991887558647196,-0.01588722491720773,-0.008962761273334813,True,-0.008862439882249655,-0.013237508486650305,-0.0039768413214740905,False,False,True,0.003129447676397541
FairVGNN,credit,"backbone (encoder), with that published row's hyperparameters",negDP,default,SAGE,GCN,SAGE,-0.00013312788501763096,-0.04062605295153171,0.03295973086572659,False,0.023066280293404837,-0.031660531477419214,0.07490242224460736,False,True,False,0.02319940817842247
FairVGNN,credit,"backbone (encoder), with that published row's hyperparameters",negEO,default,SAGE,GCN,SAGE,-0.01385562841854202,-0.059914218234453254,0.02077670631141013,False,0.01384190032113867,-0.04851012794364957,0.06905355056694476,False,True,False,0.02769752873968069
FairVGNN,german,"backbone (encoder), with that published row's hyperparameters",dAUC,default,SAGE,GCN,SAGE,0.012540952380952375,-0.01662596825396825,0.03803999999999996,False,0.024020317460317454,-0.0009067301587301807,0.053933079365079364,False,False,False,0.011479365079365079
FairVGNN,german,"backbone (encoder), with that published row's hyperparameters",negDP,default,SAGE,GCN,SAGE,-0.0028977891748784984,-0.11017069196887114,0.1032608714638966,False,0.0327102852121982,-0.03652963539483265,0.10109445247060853,False,True,False,0.0356080743870767
FairVGNN,german,"backbone (encoder), with that published row's hyperparameters",negEO,default,SAGE,GCN,SAGE,-0.002549478763136451,-0.11736615931715477,0.11435089355097831,False,0.03911025232788152,-0.031227135076400535,0.11078558459421005,False,True,False,0.04165973109101797
