method,dataset,configuration,coordinate,n_splits,n_units,frozen_mean,frozen_resolved,split_mean,split_lo,split_hi,split_sign_stability,t_resolved,t_resolved_ci_only,loso_resolved_count,loso_all_resolved,loso_none_resolved,mean_shift
FairGNN,pokec_z_g,default,negDP,6,30,0.0011598808019711,False,0.0011598808019711137,-0.007529763099788571,0.009849524703730798,0.6666666666666666,False,False,0,False,True,1.3660947373317356e-17
FairGNN,pokec_z_g,default,negEO,6,30,0.0091177854247081,False,0.009117785424708183,-0.003084321310238246,0.021319892159654612,0.6666666666666666,False,False,1,False,False,8.326672684688674e-17
FairSIN,bail,GCN,dAUC,6,30,0.0033323365414344,False,0.003332336541434387,-0.007653157705959944,0.014317830788828718,0.5,False,False,0,False,True,-1.3010426069826053e-17
FairSIN,bail,GCN,negDP,6,30,0.0050636385218032,False,0.0050636385218032895,-0.0011286659549704127,0.011255942998576992,0.8333333333333334,False,False,0,False,True,8.933825901280557e-17
FairSIN,bail,GCN,negEO,6,30,-0.0056369721889863,False,-0.005636972188986379,-0.01575835690385643,0.004484412525883668,0.6666666666666666,False,False,0,False,True,-7.892991815694472e-17
FairSIN,credit,GCN,dAUC,6,30,-0.0458796545258677,True,-0.04587965452586773,-0.06564512340815837,-0.02611418564357709,1.0,True,True,6,True,False,-2.7755575615628914e-17
FairSIN,credit,GCN,negDP,6,30,0.0765616649535692,True,0.0765616649535693,0.053957325496160356,0.09916600441097823,1.0,True,True,6,True,False,9.71445146547012e-17
FairSIN,credit,GCN,negEO,6,30,0.0589281855049974,True,0.058928185504997475,0.03149754192025672,0.08635882908973823,1.0,True,True,6,True,False,7.632783294297951e-17
FairSIN,german,GCN,dAUC,6,30,-0.1096609523809523,True,-0.10966095238095236,-0.1682880687583467,-0.051033836003558014,1.0,True,True,6,True,False,-5.551115123125783e-17
FairSIN,german,GCN,negDP,6,30,0.1789074319904661,True,0.1789074319904661,0.04739436161961738,0.3104205023613148,1.0,True,True,5,False,False,0.0
FairSIN,german,GCN,negEO,6,30,0.1321641441210053,True,0.13216414412100536,0.026899681113116844,0.23742860712889385,1.0,True,True,2,False,False,5.551115123125783e-17
