method,backbone,dataset,configuration,n_units,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,nonint_larger_dAUC,nonint_larger_negDP,nonint_larger_negEO,caveat
FairGNN,GCN,pokec_z_g,default,30,0.017230723630643662,0.009819753404865354,0.024355054085162364,0.024191233645314558,0.017816706239534057,0.03098376054553941,-0.006960510014670895,-0.010360416493492699,-0.0035262319859000343,0.6333333333333333,False,-0.0011654298196763393,-0.012551945857308261,0.009603705133668088,-0.002325310621647453,-0.012089172435449368,0.007838742913440217,0.001159880801971113,-0.006453273147355571,0.009015444117404216,0.5333333333333333,False,-0.0021014607196752364,-0.013885031602772352,0.009602030187153311,-0.01121924614438342,-0.023191222936485272,-6.0178902334867774e-05,0.009117785424708183,-0.0006838483792048652,0.019291187783486877,0.6333333333333333,False,True,True,True,
FairSIN,GCN,bail,GCN,30,0.1111689671322699,0.06290321866527591,0.1597139261458196,0.1078366305908355,0.05747212386634853,0.15795940220610516,0.0033323365414344,-0.003992930398543298,0.011844473806120047,0.5666666666666667,False,-0.03258964342857423,-0.044506275215566084,-0.02096350479931404,-0.03765328195037752,-0.05100496032882223,-0.024510286187749034,0.0050636385218032895,0.0007927297091039685,0.010039506938718525,0.7666666666666667,False,-0.014833808390137765,-0.027105600098183365,-0.002037210224196883,-0.009196836201151387,-0.0248647880439256,0.006277644473756758,-0.005636972188986378,-0.013816321844539417,0.0014564562541606316,0.6,False,True,True,True,
FairSIN,GCN,credit,GCN,30,-0.026451763714868914,-0.050999287142014016,-0.011612522121533065,0.01942789081099887,0.012434335591383452,0.026366950917208344,-0.04587965452586778,-0.07089475140689115,-0.030503011206454676,0.9666666666666667,True,0.1495142961719246,0.12222827287391674,0.1774306049659397,0.07295263121835532,0.04724908248029281,0.09849659940863252,0.07656166495356928,0.05502304092388726,0.09850948563704924,0.8666666666666667,True,0.13076107292323788,0.10182053914681104,0.15960385722884413,0.0718328874182404,0.04418300714531023,0.09923286196105972,0.058928185504997475,0.03685191032030444,0.08278337696205541,0.9333333333333333,True,False,False,True,
FairSIN,GCN,german,GCN,30,-0.10594793650793649,-0.15429876190476188,-0.053826857142857135,0.0037130158730158793,-0.0025359365079365166,0.010721396825396825,-0.10966095238095237,-0.156119873015873,-0.060102857142857166,0.9,True,0.3119412410532571,0.1695239225924028,0.45122158871966644,0.13303380906279094,0.0510891176043005,0.23913041672265575,0.17890743199046613,0.08268979502894816,0.2758666299799678,0.9,True,0.26054965597941304,0.13150933893607678,0.3886556857530245,0.12838551185840769,0.049431180916811174,0.22616501283048684,0.13216414412100536,0.054022426506802446,0.21019859943977587,0.8666666666666667,True,False,False,False,
FairSIN,GCN,pokec_n,GCN,30,-0.00936277100630711,-0.016721975478904902,-0.003340630773717729,-0.01211505629581808,-0.020029785576400328,-0.004248489323172119,0.0027522852895109696,-0.0019442564466656382,0.009614802353025871,0.6,False,0.008700733006479654,-0.001545914621334674,0.021032898598229596,0.01060935774920733,-0.006777463980786124,0.031606571408553594,-0.001908624742727676,-0.01827734634291023,0.010588651790492743,0.5,False,0.011204358825191486,-0.0022914442852294144,0.027464927969793555,0.01170838436902318,-0.006188926781054397,0.03183067338826555,-0.0005040255438316973,-0.01262824039144696,0.010793342330507784,0.5666666666666667,False,True,True,True,
FairSIN,GCN,pokec_z,GCN,30,0.026334728885798128,0.01986716223353347,0.033350782241146855,0.025112853520442648,0.018854719868071308,0.0320254517483783,0.0012218753653554773,-0.0011110372811228971,0.003656516399979563,0.5333333333333333,False,-0.015878027592156122,-0.037092452221662985,0.006549578126078426,-0.03369462374795696,-0.05033315524946785,-0.016882883403105255,0.01781659615580084,0.010381576838153555,0.02759849609030877,0.8666666666666667,True,-0.015269170039902354,-0.034833679011971756,0.006851464137343596,-0.029517979504022917,-0.047860178317454136,-0.010558977016386037,0.014248809464120564,0.008237306779462862,0.02119602557630859,0.8666666666666667,True,True,True,True,
FairVGNN,GCN,bail,default,30,0.07154662626438876,0.02330434720844698,0.11798666108450445,0.11368471555143321,0.06577196311053668,0.16243437714919304,-0.04213808928704445,-0.062323884313722495,-0.026824069306947144,1.0,True,-0.022808566231514803,-0.038574564548723135,-0.007017315738093412,-0.029702337571509287,-0.04088219029388956,-0.018930733166502636,0.006893771339994484,-0.002756453659066201,0.01651663449996371,0.6666666666666666,False,-0.012225533534519233,-0.027643348960826382,0.0022720718464986824,-0.00680779786838277,-0.019217905517492043,0.00479053791686898,-0.0054177356661364645,-0.011927240429787583,0.0010499453272957823,0.6333333333333333,False,True,True,True,
FairVGNN,GCN,credit,default,30,0.0009512203318968627,-0.005783537546124247,0.008246757546621644,0.01294310789054406,0.005538151451135085,0.020463820571719433,-0.011991887558647196,-0.01588722491720773,-0.008962761273334813,1.0,True,0.03870750371820091,0.0030480348518713745,0.0702032369888987,0.03884063160321855,0.014014933939953175,0.061453602289905165,-0.00013312788501763096,-0.04062605295153171,0.03295973086572659,0.5333333333333333,False,0.033894638767913404,-0.007031680051526784,0.0680939699302334,0.047750267186455427,0.020787604576901327,0.07228117511712932,-0.01385562841854202,-0.059914218234453254,0.02077670631141013,0.5333333333333333,False,True,True,True,
FairVGNN,GCN,german,default,30,-0.030351746031746032,-0.060434349206349214,0.003474126984126967,-0.0428926984126984,-0.07788177777777776,-0.009480095238095244,0.012540952380952375,-0.01662596825396825,0.03803999999999996,0.6333333333333333,False,0.0426956959805538,-0.03181350258142067,0.12473380729317485,0.04559348515543229,-0.05949467454706842,0.1665994535938338,-0.0028977891748784984,-0.11017069196887114,0.1032608714638966,0.6,False,0.014641171113835616,-0.0575851189772599,0.09362260734213891,0.017190649876972074,-0.0928311597676896,0.14948969743452922,-0.002549478763136451,-0.11736615931715477,0.11435089355097831,0.5,False,True,True,True,
GEAR,SAGE,bail,default,30,0.11980593616042139,0.07394640252191537,0.1659428526545148,0.11718528224962985,0.0711091329128568,0.16319325250326777,0.0026206539107915074,-0.0008494587381724294,0.006373682949641782,0.6,False,-0.016221621982618974,-0.03163874217703765,-0.00033389669210227184,-0.032221798640931776,-0.06752420205864078,0.002278773736188949,0.016000176658312805,-0.019841323790360427,0.04971797327947349,0.6666666666666666,False,-0.00225341573296309,-0.016251923745728297,0.01074485145418684,-0.026851818298703416,-0.057187206986996995,-0.003026448273163373,0.02459840256574032,-0.0002383973383963428,0.04787098581865732,0.8666666666666667,False,True,True,True,"the released counterfactual assets are three identical files that flip the sensitive attribute on the unchanged graph, so the cell measures the similarity objective given an attribute flip, not the published generator; no native cell: the published counterfactual assets cannot be reproduced"
NIFTY,GCN,bail,default,30,0.002843082634112204,-0.05843978032887629,0.06585989930424817,0.02871451344310671,-0.03540471608522388,0.0919208997000313,-0.025871430808994508,-0.05025113376309541,-0.007506783350628852,0.6333333333333333,False,-0.001402553056007609,-0.014993694549695109,0.011684877233122937,-0.0023556386865848625,-0.013288012276452398,0.008228797131684758,0.000953085630577253,-0.006320805081897361,0.008548999664460703,0.5,False,-0.0010114917407810702,-0.008926175458481787,0.005721049233871843,-0.0005757132261835707,-0.008062540861165712,0.005965514710309986,-0.00043577851459750025,-0.004898613158537482,0.004042286393280632,0.5333333333333333,False,True,True,True,
NIFTY,GCN,credit,default,30,-0.14487562836987136,-0.1694795254799367,-0.12125321978447202,-0.12179146484374259,-0.14878149365526894,-0.09666969347304395,-0.023084163526128763,-0.036500716512874135,-0.012997148636854012,1.0,True,0.0945973211448023,0.06428718401303403,0.12492446879628438,0.07791030780548715,0.04414660303944984,0.11285724124297951,0.016687013339315118,0.006075389922268874,0.027860957611645764,0.8,True,0.06877083025997748,0.03380419788363404,0.10369432020231478,0.05247010550171435,0.015392119911319231,0.09148239741686162,0.01630072475826315,0.005146729285870133,0.028558491614404942,0.7666666666666667,True,True,True,True,
NIFTY,GCN,german,default,30,-0.18319111111111114,-0.23258533333333328,-0.13149453968253969,-0.15260190476190474,-0.20093634920634917,-0.106250634920635,-0.03058920634920633,-0.05566507936507934,-0.007384793650793645,0.6666666666666666,False,0.23204562105515744,0.09229764578582354,0.3668624204584678,0.2384974679364982,0.11003993268776834,0.3686327777922643,-0.006451846881340765,-0.041800591948797435,0.03169526975788681,0.6,False,0.19195474489441172,0.06866667400293447,0.30826133383805626,0.18771010442593114,0.062272108725434615,0.3168985231632547,0.004244640468480539,-0.034407748651174415,0.04402823211761066,0.5666666666666667,False,True,True,True,
SFG,SAGE,bail,default,30,0.1333256007026395,0.08429034499267363,0.18186968696525266,0.13120485738031606,0.08166140736174504,0.17882030324475845,0.0021207433223233707,-0.008321002896372413,0.012270816385320087,0.5666666666666667,False,-0.013830039721401998,-0.030210317536050704,0.005062001147710477,-0.03398532841524495,-0.058105193110180545,-0.011408398027210805,0.020155288693842956,0.00038896159567989685,0.0445637395397805,0.7333333333333333,False,-0.014821257710645888,-0.03252075475852494,0.002300261629653667,-0.021826032933035592,-0.05260738479818924,0.002728590123038687,0.007004775222389703,-0.00726187493413353,0.026971547687676813,0.5,False,True,True,True,
SFG,SAGE,credit,default,30,0.02080807633621765,0.014058813282066523,0.02762627625684552,0.02983240970439711,0.023153915991647515,0.03663448331250304,-0.009024333368179463,-0.01219678630758156,-0.0062543454040271665,0.9666666666666667,False,0.11271296168357112,0.09166491732357875,0.13234068816726502,0.11417747359575219,0.08649522033296507,0.143339646546742,-0.0014645119121810862,-0.022553381436238532,0.015370106364672237,0.5333333333333333,False,0.11348534607288098,0.090153002243714,0.13601324568557036,0.11237792898089395,0.08637596193926134,0.13973885662174923,0.0011074170919870329,-0.011945385395290595,0.013300820476430506,0.6,False,True,True,True,
SFG,SAGE,german,default,30,-0.006686984126984123,-0.033629333333333344,0.022378126984126983,0.0051860317460317535,-0.018705079365079348,0.0286939365079365,-0.011873015873015876,-0.02905904761904761,0.0037186666666666588,0.5666666666666667,False,0.21485713229847733,0.09214581437811545,0.33591976293279535,0.14146380645279794,0.015385230194068759,0.26485874596623826,0.07339332584567933,0.019775485925406663,0.12702941414258584,0.7,False,0.19067350051131565,0.07638902111879033,0.30204711427124037,0.12598381889990037,0.005608879117249737,0.24228519943970497,0.06468968161141524,0.018029923285655867,0.11519721328971896,0.7333333333333333,False,False,True,True,
