analysis,method,dataset,coordinate,term,mean,lo,hi,resolved,note
selection-support decomposition,FairGB,bail,dAUC,bce.Hshift,0.0448236335213909,0.0363928229644017,0.0553900175500423,True,
selection-support decomposition,FairGB,bail,dAUC,bce.E1,0.0434037726564485,0.0366367479227443,0.0509718430841647,True,
selection-support decomposition,FairGB,bail,dAUC,bce.E0,-0.0005316733655163,-0.002126626499078,3.18871368643984e-08,False,
selection-support decomposition,FairGB,bail,negDP,auc.cap,-0.0854561168269503,-0.1464757974398631,-0.0297244740103437,True,
selection-support decomposition,FairGB,bail,negDP,auc.full,-0.0121429862332547,-0.0460290233914749,0.0142446021620836,False,
selection-support decomposition,FairGB,bail,negDP,auc.h200,-0.0813543739185739,-0.1349446199992199,-0.0334068597450293,True,
selection-support decomposition,FairGB,bail,negDP,auc.S,0.0733131305936955,0.0205725081724418,0.1331549289773757,False,
selection-support decomposition,FairGB,bail,negDP,auc.T,-0.0041017429083763,-0.0254965099022488,0.0182570121128931,False,
selection-support decomposition,FairGB,bail,negDP,auc.Hshift,0.0692113876853192,0.0284833777622355,0.1184890825948078,True,
selection-support decomposition,FairGB,bail,negDP,auc.E1,0.0729111630332181,0.0232393875857198,0.1291551700179107,True,
selection-support decomposition,FairGB,bail,negDP,auc.E0,-0.0004019675604773,-0.0104517536926132,0.009778219124458,False,
selection-support decomposition,FairGB,bail,negEO,auc.cap,-0.0680236385094493,-0.1111474332923303,-0.0300374501265238,True,
selection-support decomposition,FairGB,bail,negEO,auc.full,-0.0246740068734753,-0.0467150306388512,-0.0077361777251555,True,
selection-support decomposition,FairGB,bail,negEO,auc.h200,-0.0711108714263121,-0.1074700469471328,-0.0380898169681144,True,
selection-support decomposition,FairGB,bail,negEO,auc.S,0.0433496316359739,0.0081715429064258,0.0831904965272966,False,
selection-support decomposition,FairGB,bail,negEO,auc.T,0.0030872329168628,-0.0115573504038376,0.0169314019284725,False,
selection-support decomposition,FairGB,bail,negEO,auc.Hshift,0.0464368645528367,0.0148638940757257,0.0782054459951089,True,
selection-support decomposition,FairGB,bail,negEO,auc.E1,0.0433254137351154,0.0176921145432974,0.0722328501646134,True,
selection-support decomposition,FairGB,bail,negEO,auc.E0,-2.4217900858536367e-05,-0.0145177917117438,0.012235783737789,False,
selection-support decomposition,FairGB,bail,dAUC,auc.cap,0.0143771192191171,0.0042545865182205,0.0246067114674562,True,
selection-support decomposition,FairGB,bail,dAUC,auc.full,0.0432268245564626,0.0388827387370805,0.0481395813499534,True,
selection-support decomposition,FairGB,bail,dAUC,auc.h200,0.0132692644224244,0.0022235812519961,0.0244312257115677,True,
selection-support decomposition,FairGB,bail,dAUC,auc.S,0.0288497053373455,0.0206330577997722,0.0377137987885949,True,
selection-support decomposition,FairGB,bail,dAUC,auc.T,0.0011078547966927,-0.0018616901496297,0.0041109888558283,False,
selection-support decomposition,FairGB,bail,dAUC,auc.Hshift,0.0299575601340382,0.0205711262836485,0.0399227990892268,True,
selection-support decomposition,FairGB,bail,dAUC,auc.E1,0.0443724911200701,0.0361876480519765,0.0546250513542339,True,
selection-support decomposition,FairGB,bail,dAUC,auc.E0,0.0155227857827246,0.0108132095206827,0.0213616563970953,True,
selection-support decomposition,FairGB,bail,negDP,fx25,0.0070647597067156,-0.0321798014485028,0.0480131389109004,False,
selection-support decomposition,FairGB,bail,negEO,fx25,-0.0113219420271527,-0.0329590751500152,0.0112923220943883,False,
selection-support decomposition,FairGB,bail,dAUC,fx25,-0.0221969612323842,-0.0361069614785529,-0.0104018423367301,True,
selection-support decomposition,FairGB,bail,negDP,fx50,-0.0354361415405738,-0.0845507076829354,0.0122981549911847,False,
