method,backbone,dataset,configuration,n_units,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,nonint_larger_negDP,nonint_larger_negEO,caveat
FairGNN,GCN,pokec_z_g,default,30,0.017230764280007926,0.009819904055421262,0.024355115704730985,0.02419127429467882,0.017816844311214164,0.030983840994837548,-0.006960510014670895,-0.010360416493492699,-0.0035262319859000343,0.6333333333333333,False,-0.0011654298196763393,-0.012551945857308261,0.009603705133668088,-0.002325310621647453,-0.012089172435449368,0.007838742913440217,0.001159880801971113,-0.006453273147355571,0.009015444117404216,0.5333333333333333,False,-0.0021014607196752364,-0.013885031602772352,0.009602030187153311,-0.01121924614438342,-0.023191222936485272,-6.0178902334867774e-05,0.009117785424708183,-0.0006838483792048652,0.019291187783486877,0.6333333333333333,False,True,True,
FairSIN,GCN,bail,GCN,30,0.11116897032098355,0.06290318311111825,0.1597139723821681,0.10783663377954916,0.057471972243012655,0.15795948200366525,0.0033323365414344,-0.003992930398543298,0.011844473806120047,0.5666666666666667,False,-0.03258964342857423,-0.044506275215566084,-0.02096350479931404,-0.03765328195037752,-0.05100496032882223,-0.024510286187749034,0.0050636385218032895,0.0007927297091039685,0.010039506938718525,0.7666666666666667,False,-0.014833808390137765,-0.027105600098183365,-0.002037210224196883,-0.009196836201151387,-0.0248647880439256,0.006277644473756758,-0.005636972188986378,-0.013816321844539417,0.0014564562541606316,0.6,False,True,True,
FairSIN,GCN,credit,GCN,30,-0.025259446320735023,-0.050320702418249444,-0.009634008658627825,0.02062020820513276,0.013109846554207558,0.028272842010416185,-0.04587965452586778,-0.07089475140689115,-0.030503011206454676,0.9666666666666667,True,0.14407953864415615,0.11716982459092022,0.1707271180620356,0.06751787369058686,0.04453618524412395,0.09179483950256703,0.07656166495356928,0.05502304092388726,0.09850948563704924,0.8666666666666667,True,0.12239879304072768,0.09413203561287144,0.15033056998539915,0.06347060753573021,0.03952740575331106,0.08858983873594381,0.058928185504997475,0.03685191032030444,0.08278337696205541,0.9333333333333333,True,False,True,
FairSIN,GCN,german,GCN,30,0.10685587301587306,0.06783222222222225,0.1462938730158731,0.2165168253968254,0.17593101587301585,0.259637365079365,-0.10966095238095237,-0.156119873015873,-0.060102857142857166,0.9,True,0.11182564760939899,0.06330479333873382,0.16671778926772607,-0.06708178438106713,-0.1770090084701222,0.04143300926836849,0.17890743199046613,0.08268979502894816,0.2758666299799678,0.9,True,0.11935246349130667,0.067259475568005,0.17939839969202812,-0.012811680629698683,-0.10840454834726437,0.0856005518164713,0.13216414412100536,0.054022426506802446,0.21019859943977587,0.8666666666666667,True,False,False,
FairSIN,GCN,pokec_n,GCN,30,-0.009362812324350534,-0.016722098459063715,-0.003340633141989392,-0.012115097613861503,-0.020029758340082235,-0.0042484909712775685,0.0027522852895109696,-0.0019442564466656382,0.009614802353025871,0.6,False,0.008700733006479654,-0.001545914621334674,0.021032898598229596,0.01060935774920733,-0.006777463980786124,0.031606571408553594,-0.001908624742727676,-0.01827734634291023,0.010588651790492743,0.5,False,0.011204358825191486,-0.0022914442852294144,0.027464927969793555,0.01170838436902318,-0.006188926781054397,0.03183067338826555,-0.0005040255438316973,-0.01262824039144696,0.010793342330507784,0.5666666666666667,False,True,True,
FairSIN,GCN,pokec_z,GCN,30,0.02633473897150728,0.019867201984226375,0.03335085999723279,0.0251128636061518,0.0188547199898462,0.032025451109143455,0.0012218753653554773,-0.0011110372811228971,0.003656516399979563,0.5333333333333333,False,-0.015878027592156122,-0.037092452221662985,0.006549578126078426,-0.03369462374795696,-0.05033315524946785,-0.016882883403105255,0.01781659615580084,0.010381576838153555,0.02759849609030877,0.8666666666666667,True,-0.015269170039902354,-0.034833679011971756,0.006851464137343596,-0.029517979504022917,-0.047860178317454136,-0.010558977016386037,0.014248809464120564,0.008237306779462862,0.02119602557630859,0.8666666666666667,True,True,True,
FairVGNN,GCN,bail,default,30,0.07154656567882868,0.023304318908613002,0.11798667320161645,0.11368465496587313,0.06577187063783972,0.16243425565920155,-0.04213808928704445,-0.062323884313722495,-0.026824069306947144,1.0,True,-0.022808566231514803,-0.038574564548723135,-0.007017315738093412,-0.029702337571509287,-0.04088219029388956,-0.018930733166502636,0.006893771339994484,-0.002756453659066201,0.01651663449996371,0.6666666666666666,False,-0.012225533534519233,-0.027643348960826382,0.0022720718464986824,-0.00680779786838277,-0.019217905517492043,0.00479053791686898,-0.0054177356661364645,-0.011927240429787583,0.0010499453272957823,0.6333333333333333,False,True,True,
FairVGNN,GCN,credit,default,30,0.0009076299857963247,-0.006808520443827613,0.008956582749402586,0.01289951754444352,0.004211716560103876,0.022001514792046144,-0.011991887558647196,-0.01588722491720773,-0.008962761273334813,1.0,True,0.03813831310320902,-0.0004224986703463709,0.07349328865797135,0.03827144098822664,0.014633072696949214,0.061899050760993696,-0.00013312788501763096,-0.04062605295153171,0.03295973086572659,0.5333333333333333,False,0.03225727553209516,-0.01256640318321789,0.07153706465445693,0.046112903950637184,0.02033876153718348,0.0720347486760503,-0.01385562841854202,-0.059914218234453254,0.02077670631141013,0.5333333333333333,False,True,True,
FairVGNN,GCN,german,default,30,0.1824457142857143,0.14933441269841274,0.21452069841269847,0.16990476190476192,0.12004492063492067,0.21331844444444445,0.012540952380952375,-0.01662596825396825,0.03803999999999996,0.6333333333333333,False,-0.15741989746330426,-0.2715476602644357,-0.04424722240342066,-0.1545221082884258,-0.2925127134042952,-0.01403722522035531,-0.0028977891748784984,-0.11017069196887114,0.1032608714638966,0.6,False,-0.12655602137427077,-0.23296753325399308,-0.016819827597705766,-0.1240065426111343,-0.2740781636830264,0.017489136654661817,-0.002549478763136451,-0.11736615931715477,0.11435089355097831,0.5,False,True,True,
GEAR,SAGE,bail,default,30,0.11980595529270349,0.0739463075779653,0.1659428526545148,0.11718530138191201,0.071109144950251,0.16319316728489439,0.0026206539107915074,-0.0008494587381724294,0.006373682949641782,0.6,False,-0.016221621982618974,-0.03163874217703765,-0.00033389669210227184,-0.032221798640931776,-0.06752420205864078,0.002278773736188949,0.016000176658312805,-0.019841323790360427,0.04971797327947349,0.6666666666666666,False,-0.00225341573296309,-0.016251923745728297,0.01074485145418684,-0.026851818298703416,-0.057187206986996995,-0.003026448273163373,0.02459840256574032,-0.0002383973383963428,0.04787098581865732,0.8666666666666667,False,True,True,"the released counterfactual assets are three identical files that flip the sensitive attribute on the unchanged graph, so the cell measures the similarity objective given an attribute flip, not the published generator; no native cell: the published counterfactual assets cannot be reproduced"
NIFTY,GCN,bail,default,30,0.002843044369547946,-0.05843982082554008,0.06585988288237267,0.028714475178542455,-0.03540473426089188,0.09192073739450456,-0.025871430808994508,-0.05025113376309541,-0.007506783350628852,0.6333333333333333,False,-0.001402553056007609,-0.014993694549695109,0.011684877233122937,-0.0023556386865848625,-0.013288012276452398,0.008228797131684758,0.000953085630577253,-0.006320805081897361,0.008548999664460703,0.5,False,-0.0010114917407810702,-0.008926175458481787,0.005721049233871843,-0.0005757132261835707,-0.008062540861165712,0.005965514710309986,-0.00043577851459750025,-0.004898613158537482,0.004042286393280632,0.5333333333333333,False,True,True,
